source,entry,reason,blacklist (y/N),whitelist (y/N)
Jeroengui,aeteri.pics,toplist,y,
Jeroengui,baliranihotel.com,toplist,,y
Jeroengui,binta.xyz,toplist,y,
Jeroengui,filedn.com,toplist,y,
Jeroengui,investacorps.com,toplist,y,
Jeroengui,kckark.xyz,toplist,y,
Jeroengui,kokihap7siexz3.com,toplist,y,
Jeroengui,michlalot.co.il,toplist,y,
Jeroengui,olimpbetaviator.top,toplist,y,
Jeroengui,pakqatar.com.pk,toplist,y,
Jeroengui,phanannetr.xyz,toplist,y,
Jeroengui,pokemonhoki.id,toplist,y,
Jeroengui,privesports.com.cy,toplist,,y
Jeroengui,srtuiyhuali.at,toplist,y,
Jeroengui,tiendadocmartenssmexico.com,toplist,y,
Jeroengui,voxsig.com,toplist,y,
Jeroengui,xbhp.com,toplist,,y
Jeroengui (NRDs),aeteri.pics,toplist,,
Jeroengui (NRDs),olimpbetaviator.top,toplist,y,
Jeroengui (NRDs),pokemonhoki.id,toplist,y,
Gridinsoft,binarium.com,toplist,,y
Gridinsoft,bitnetx.cloud,toplist,y,
Gridinsoft,bzillion.club,toplist,y,
Gridinsoft,colfayc.cc,toplist,y,
Gridinsoft,datezone.com,toplist,y,
Gridinsoft,dnswatch.info,toplist,,y
Gridinsoft,dogefree.in,toplist,y,
Gridinsoft,dtxexchange.com,toplist,y,
Gridinsoft,fastshare.cloud,toplist,,y
Gridinsoft,finessedownload.com,toplist,y,
Gridinsoft,freelibrary.ru,toplist,,y
Gridinsoft,fruit77.one,toplist,y,
Gridinsoft,gamefabrique.com,toplist,y,
Gridinsoft,glbgpt.com,toplist,,y
Gridinsoft,guavarina.com.br,toplist,y,
Gridinsoft,lamafilm.club,toplist,,y
Gridinsoft,legitdogemining.com,toplist,y,
Gridinsoft,madmuscles.com,toplist,,y
Gridinsoft,manualslibrary.co,toplist,y,
Gridinsoft,modenest.com,toplist,y,
Gridinsoft,myamericanprizes3.com,toplist,y,
Gridinsoft,myhoneyandpine.com,toplist,y,
Gridinsoft,oexbit.com,toplist,y,
Gridinsoft,oxredo.com,toplist,y,
Gridinsoft,pchelpsoft.com,toplist,y,
Gridinsoft,rarbggo.to,toplist,,y
Gridinsoft,rimicoins.com,toplist,y,
Gridinsoft,royalreels7.com,toplist,y,
Gridinsoft,seaart.ai,toplist,,y
Gridinsoft,softontop.io,toplist,y,
Gridinsoft,stggege.org,toplist,y,
Gridinsoft,teaserfast.ru,toplist,,y
Gridinsoft,themagistv.com,toplist,y,
Gridinsoft,vishopee.com,toplist,y,
Gridinsoft,worldwardrobe.shop,toplist,y,
MalwareTips,enhancedefense.com,toplist,y,
MalwareTips,oxredo.com,toplist,y,
MalwareTips,rwrdznga.com,toplist,y,
MalwareTips,the-prize-stash.com,toplist,y,
MalwareTips,vitceed.com,toplist,y,
PCrisk,enhancedefense.com,toplist,y,
PCrisk,rwrdznga.com,toplist,y,
PhishStats,belmash.ru,toplist,y,
SafelyWeb,airgunshop.gr,toplist,y,
SafelyWeb,beado.hu,toplist,y,
SafelyWeb,dpuplet.net,toplist,y,
SafelyWeb,filmix.my,toplist,y,
SafelyWeb,freebook.work,toplist,y,
SafelyWeb,getswift.xyz,toplist,,y
SafelyWeb,ghhut.com,toplist,y,
SafelyWeb,investimperium.com,toplist,,y
SafelyWeb,itellyou.cn,toplist,y,
SafelyWeb,news-tui.com,toplist,y,
SafelyWeb,poisedrope.com,toplist,y,
SafelyWeb,recoverybypp.com,toplist,y,
SafelyWeb,sqoutout.com,toplist,y,
SafelyWeb,torrent-films.cc,toplist,y,
SafelyWeb,urbanint.net,toplist,y,
SafelyWeb,xacaci.xyz,toplist,y,
SafelyWeb,zqdlb.com,toplist,y,
