source name,source function,exclude from light,enable
165 Anti-fraud,165antifraud,,y
Artists Against 419,aa419,,y
BehindMLM,behindmlm,,y
BugsFighter,bugsfighter,,y
Chainabuse,chainabuse,,y
DFPI Crypto Scam Tracker,crypto_scam_tracker,,y
DGA Detector,dga_detector,y,y
dnstwist,dnstwist_,,y
Emerging Threats,emerging_threats,,y
FakeWebshopListHUN,fakewebshoplisthun,y,y
Google Search,google_search,,y
Gridinsoft,gridinsoft,y,y
Jeroengui,jeroengui,y,y
Jeroengui (NRDs),jeroengui_nrds,,y
Malwarebytes,malwarebytes,,y
MalwareURL,malwareurl,,y
PCrisk,pcrisk,,y
Phishing NRDs,phishing_nrds,y,y
PhishStats,phishstats,,y
Podvod na bazaru,podvodnabazaru.cz,,y
PuppyScams.org,puppyscams,,y
SafelyWeb,safelyweb,y,y
Scam Directory,scamdirectory,,y
ScamAdviser,scamadviser,,y
ScamMinder,scamminder,,y
ScamScavenger,scamscavenger,,y
ScamTracker,scamtracker,,y
Unit42,unit42,,y
URLCrazy,urlcrazy,,y
Verbraucherzentrale Hamburg,vzhh.de,,y
ViriBack C2 Tracker,viriback_tracker,,y
Wildcat Cyber Patrol,greatis,,y
WiperSoft,wipersoft,,y
Česká Obchodní Inspekce,coi.gov.cz,,y
